shopping_id,cnpj,loja_nome,segmento,cupons,clientes,valor_total,shopping_sigla,participou
1,92754738021755,Renner,Moda,413,319,111862.39,CS,True
1,59546515007490,Nike Unite,Moda,168,135,73569.5,CS,True
1,84453844017587,Vivara,Joalheria,26,23,65858.33,CS,True
1,45242914028450,C&A,Moda,188,159,48207.32,CS,True
1,00776574160781,Lojas Americanas,Eletrodomésticos,536,337,46532.98,CS,True
1,06347409027365,Centauro,Esportes,120,107,44410.81,CS,True
1,02314041005490,Decathlon,Esportes,154,134,40851.02,CS,True
1,54909876001903,Óticas Carol,Ótica,21,19,40659.0,CS,True
1,33200056014107,Riachuelo,Moda,168,141,37000.38,CS,True
1,34912793000480,Empório Du Homem,Moda,41,33,35933.36,CS,True
1,02455036001590,Samsung,Eletrônicos,8,4,32903.0,CS,True
1,28672652000191,Maze Vale Comercio LTDA,Moda,37,30,29221.0,CS,True
1,02558157078005,Vivo,Telefonia,5,4,25674.0,CS,True
1,47960950088460,Magazine Luiza,Eletrodomésticos,25,11,25173.3,CS,True
1,92665611036368,Panvel Farmácias,Farmácias,259,203,23984.86,CS,True
1,78842440001821,Carioca Calçados,Calçados,64,60,23520.07,CS,True
1,30787430000913,Clifield,Moda,29,28,22776.55,CS,True
1,50628261000129,Live!,Moda Feminina,36,35,22455.41,CS,True
1,43283811014029,Kalunga,Papelaria,189,152,21547.89,CS,True
1,46227794000202,IDéli oui,Beleza e Bem-estar,50,43,21389.28,CS,True
1,49367662000193,Audithorium Menswear,Moda,23,21,18886.86,CS,True
1,48205573000188,Arezzo,Calçados,33,30,18042.72,CS,True
1,08718972001876,Leo Cosméticos,Beleza e Bem-estar,232,194,17676.17,CS,True
1,17574231006738,Youcom,Moda,52,43,17638.66,CS,True
1,79065181003371,Livrarias Catarinense,Livrarias,176,143,17413.04,CS,True
1,01167639004701,Beagle,Moda,27,21,17032.39,CS,True
1,56025089000103,Hope,Moda,41,37,15468.06,CS,True
1,37105114000106,Brasil Cacau,Gastronomia,144,116,15395.06,CS,True
1,57931942000100,Eco Made,Casa e Decoração,1,1,15000.0,CS,True
1,53153938008788,Cobasi,Pets,129,108,14760.14,CS,True
1,06159920000486,Lua Luá,Moda,29,21,14541.33,CS,True
1,15048754009307,Studio Z,Calçados,90,80,14472.93,CS,True
1,00436042016920,Polishop,Eletrodomésticos,11,5,14036.48,CS,True
1,75293662001844,Altenburg,Casa e Decoração,7,6,14030.8,CS,True
1,52606285000102,Tommy Hilfiger,Moda,15,11,13974.0,CS,True
1,02421421007396,TIM,Telefonia,4,4,13944.0,CS,True
1,26953173000118,Kopenhagen,Gastronomia,64,50,13913.26,CS,True
1,50618046000147,Usaflex,Calçados,38,14,13864.61,CS,True
1,13783221006247,Madero,Gastronomia,78,64,12782.38,CS,True
1,15425654003583,Cotton On,Moda,47,36,11274.44,CS,True
1,13393158003993,Me.Linda,Beleza e Bem-estar,84,73,11207.09,CS,True
1,61099834076170,Pernambucanas,Moda,80,63,11028.8,CS,True
1,43970843000123,Companhia da Moda,Moda,19,18,10725.4,CS,True
1,26445944000590,Pop Me,Moda,39,37,10672.53,CS,True
1,13801502000678,Hering Store,Moda,36,29,10640.15,CS,True
1,40432544043466,Claro,Telefonia,2,2,10221.64,CS,True
1,05116621000663,O Boticário,Beleza e Bem-estar,73,56,10077.82,CS,True
1,23636034000504,Ótica Diniz,Ótica,8,8,9927.8,CS,True
1,01477466000650,McDonald's,Gastronomia,168,121,9894.01,CS,True
1,11950487018137,Bacio di Latte,Gastronomia,164,110,9419.52,CS,True
1,56261957000146,Monviso,Ótica,5,5,9287.0,CS,True
1,83729004012300,Damyller,Moda,13,13,9212.4,CS,True
1,58731662012632,Ri Happy Baby,Infantil,50,42,9035.71,CS,True
1,17261661015529,Outback Steakhouse,Gastronomia,39,35,8304.41,CS,True
1,47100110014300,Brooksfield,Moda,6,6,8054.94,CS,True
1,24548025000192,Spoleto,Gastronomia,149,100,7623.29,CS,True
1,48911062000343,Democrata,Calçados,17,15,7424.96,CS,True
1,84453844049276,Life Vivara,Joalheria,12,11,7124.0,CS,True
1,41219509000107,ADCOS,Beleza e Bem-estar,14,13,6959.78,CS,True
1,60883735000132,Bom Beef,Gastronomia,87,49,6928.11,CS,True
1,05918619007106,Casa Maria,Casa e Decoração,98,62,6688.32,CS,True
1,55596009000107,Luz da Lua,Moda,6,5,6675.8,CS,True
1,28030178000102,Constance,Calçados,23,21,6570.3,CS,True
1,34593611000102,Cartes - Cozinha do Mundo,Gastronomia,97,64,6503.11,CS,True
1,09611669030859,FARM Rio,Moda,17,15,6495.63,CS,True
1,01687411000836,Chuá Brand,Moda Feminina,6,6,6366.9,CS,True
1,46708841018449,Polo Wear,Moda,39,35,6243.29,CS,True
1,13341740000303,Vicio DiPrata,Joalheria,23,21,6202.3,CS,True
1,10872187000924,Ophicina,Moda,9,9,6077.94,CS,True
1,41895821000110,Giraffas,Gastronomia,117,75,6051.23,CS,True
1,34438969000403,Arquipélago  Sushi,Gastronomia,18,14,6019.98,CS,True
1,57637136000124,Hefesto Acessorios,Presentes e Acessórios,27,15,6013.87,CS,True
1,11377588002671,Burger King,Gastronomia,108,81,5919.95,CS,True
1,51383076000184,Bagaggio,Presentes e Acessórios,12,11,5840.8,CS,True
1,04570373000159,Mini Kalzone,Gastronomia,225,157,5664.8,CS,True
1,33236254000162,Lupo,Moda,29,27,5548.32,CS,True
1,09652820001538,Cinépolis,Lazer,69,57,5465.0,CS,True
1,55605790000120,Anacapri,Lazer,15,10,5215.47,CS,True
1,63144764000170,WePink,Beleza e Bem-estar,35,31,4988.85,CS,True
1,62550790000136,Narbona Brasil,Gastronomia,14,14,4912.08,CS,True
1,29263804000165,Camarão Express,Gastronomia,48,19,4898.11,CS,True
1,49738549000177,Kings  Sneakers,Calçados,7,7,4897.5,CS,True
1,62893370000152,Reserva,Moda,8,7,4783.0,CS,True
1,13257648002729,Sunglass Hut,Ótica,3,3,4687.0,CS,True
1,17006049000154,Gamelas & Panella's,Gastronomia,76,46,4304.73,CS,True
1,49669856020845,John John,Moda,13,11,4230.82,CS,True
1,53123904000170,Zanoni Sushi,Gastronomia,66,37,4206.58,CS,True
1,15840616000148,Docejo,Gastronomia,81,59,4188.0,CS,True
1,47293713000154,Natura,Beleza e Bem-estar,37,36,3995.14,CS,True
1,55667959000177,Forneria Carbone,Gastronomia,10,9,3849.48,CS,True
1,51687642000141,PRIME GAMES,Eletrônicos,3,3,3683.0,CS,True
1,08018733000246,Me Blue,Presentes e Acessórios,24,23,3596.5,CS,True
1,51734501000132,Swell Poke,Gastronomia,48,42,3574.85,CS,True
