shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
1,Renner,Moda,413,319,111862.39,270.85,CS,1
1,Nike Unite,Moda,168,135,73569.5,437.91,CS,2
1,Vivara,Joalheria,26,23,65858.33,2533.01,CS,3
1,C&A,Moda,188,159,48207.32,256.42,CS,4
1,Lojas Americanas,Eletrodomésticos,536,337,46532.98,86.82,CS,5
1,Centauro,Esportes,120,107,44410.81,370.09,CS,6
1,Decathlon,Esportes,154,134,40851.02,265.27,CS,7
1,Óticas Carol,Ótica,21,19,40659.0,1936.14,CS,8
1,Riachuelo,Moda,168,141,37000.38,220.24,CS,9
1,Empório Du Homem,Moda,41,33,35933.36,876.42,CS,10
1,Samsung,Eletrônicos,8,4,32903.0,4112.88,CS,11
1,Maze Vale Comercio LTDA,Moda,37,30,29221.0,789.76,CS,12
1,Vivo,Telefonia,5,4,25674.0,5134.8,CS,13
1,Magazine Luiza,Eletrodomésticos,25,11,25173.3,1006.93,CS,14
1,Panvel Farmácias,Farmácias,259,203,23984.86,92.61,CS,15
1,Carioca Calçados,Calçados,64,60,23520.07,367.5,CS,16
1,Clifield,Moda,29,28,22776.55,785.4,CS,17
1,Live!,Moda Feminina,36,35,22455.41,623.76,CS,18
1,Kalunga,Papelaria,189,152,21547.89,114.01,CS,19
1,IDéli oui,Beleza e Bem-estar,50,43,21389.28,427.79,CS,20
1,Audithorium Menswear,Moda,23,21,18886.86,821.17,CS,21
1,Arezzo,Calçados,33,30,18042.72,546.75,CS,22
1,Leo Cosméticos,Beleza e Bem-estar,232,194,17676.17,76.19,CS,23
1,Youcom,Moda,52,43,17638.66,339.2,CS,24
1,Livrarias Catarinense,Livrarias,176,143,17413.04,98.94,CS,25
1,Beagle,Moda,27,21,17032.39,630.83,CS,26
1,Hope,Moda,41,37,15468.06,377.27,CS,27
1,Brasil Cacau,Gastronomia,144,116,15395.06,106.91,CS,28
1,Eco Made,Casa e Decoração,1,1,15000.0,15000.0,CS,29
1,Cobasi,Pets,129,108,14760.14,114.42,CS,30
1,Lua Luá,Moda,29,21,14541.33,501.43,CS,31
1,Studio Z,Calçados,90,80,14472.93,160.81,CS,32
1,Polishop,Eletrodomésticos,11,5,14036.48,1276.04,CS,33
1,Altenburg,Casa e Decoração,7,6,14030.8,2004.4,CS,34
1,Tommy Hilfiger,Moda,15,11,13974.0,931.6,CS,35
1,TIM,Telefonia,4,4,13944.0,3486.0,CS,36
1,Kopenhagen,Gastronomia,64,50,13913.26,217.39,CS,37
1,Usaflex,Calçados,38,14,13864.61,364.86,CS,38
